id,name
1,Scheduling
2,Communication
3,Organization
4,Attention to Detail
5,Delegation
6,Leadership
7,Documentation
8,Oversight
9,Time Management
10,Reporting
11,Planning
12,Organizational Skills
13,Adaptability
14,Problem-Solving
15,Coordination
16,Crisis Management
17,Multitasking
18,Menu Planning
19,Culinary Knowledge
20,Creativity
21,Quality Assessment
22,Sensory Evaluation
23,Logistics
24,Space Planning
25,Design Sense
26,Flexibility
27,Guest Focus
28,Budgeting
29,Customer Service
30,Interior Design
31,Professionalism
32,Listening Skills
33,Artistic Skills
34,Advanced Makeup Techniques
35,Precision
36,Basic Makeup Skills
37,Grooming Knowledge
38,Versatility
39,Quick Setup
40,Storytelling
41,Photography
42,Aesthetic Sense
43,Technical Skills
44,Drone Operation
45,AV Skills
46,Technical Setup
47,Video Editing
48,Photo Editing
49,Efficiency
50,Data Handling
51,Design Knowledge
52,Graphic Design
53,Typography
54,Spatial Design
55,Project Coordination
56,Floral Arrangement
57,Gardening
58,Project Planning
59,Finishing Skills
60,Event Planning
61,Audio-Visual Knowledge
62,Music Knowledge
63,Event Management
64,Event Coordination