task_id,skill_id
1,1
2,1
1,2
3,2
4,2
8,2
10,2
13,2
21,2
38,2
48,2
51,2
54,2
1,3
15,3
17,3
30,3
37,3
2,4
7,4
15,4
20,4
46,4
47,4
3,5
3,6
4,7
5,8
5,9
20,9
23,9
26,9
35,9
5,10
6,11
30,11
48,11
6,12
6,13
19,13
27,13
7,14
8,15
13,15
19,15
53,15
9,16
9,17
10,18
11,19
11,20
18,20
22,20
28,20
31,20
39,20
41,20
43,20
49,20
55,20
12,21
12,22
13,23
14,24
14,25
16,26
16,27
16,28
17,29
32,29
18,30
21,31
22,32
51,32
23,33
29,33
24,34
24,35
25,36
25,37
26,38
27,39
28,40
29,41
31,42
42,42
32,43
33,43
38,43
50,43
33,44
34,45
45,45
52,45
34,46
45,46
52,46
35,47
36,48
36,49
37,50
39,51
44,51
40,52
40,53
41,54
42,55
43,56
44,57
46,58
47,59
49,60
50,61
53,62
54,63
55,64
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
17,4
18,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,4
49,4
50,4
51,4
52,4
53,4
54,4
55,4
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,5